Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsUwHacCtcfUniPk,70415,0.121587835252285,0.9590219855308533,0.9650662541389465,0.9526070952415466,0.9896130561828613,0.9900066256523132,0.9585158824920654
wgEncodeAwgTfbsBroadHmecCtcfUniPk,61513,0.08066409081220627,0.9726231098175049,0.9760374426841736,0.9696283936500549,0.9946852922439575,0.9949900507926941,0.9726032018661499
wgEncodeAwgTfbsSydhMcf10aesStat3TamUniPk,68963,0.19688007235527039,0.9227703213691711,0.9291282892227173,0.9148734211921692,0.9758772850036621,0.9764983654022217,0.9214900135993958
wgEncodeAwgTfbsUwHepg2CtcfUniPk,75516,0.0896863266825676,0.9697511792182922,0.9720467329025269,0.9683877825737,0.993480384349823,0.9940060973167419,0.9699905514717102
wgEncodeAwgTfbsUwGm12875CtcfUniPk,60122,0.08182792365550995,0.9724352359771729,0.9721778035163879,0.9711688160896301,0.9940750598907471,0.9946227073669434,0.9714695811271667
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk,66251,0.13042369484901428,0.9534841775894165,0.9519780874252319,0.955638587474823,0.9879889488220215,0.9887988567352295,0.9534275531768799
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk,36099,0.06509213149547577,0.9819968938827515,0.9884259104728699,0.9758281707763672,0.9952147603034973,0.9958289265632629,0.9819387793540955
wgEncodeAwgTfbsUwAg09319CtcfUniPk,76550,0.09397362917661667,0.9658381938934326,0.9652699828147888,0.9656367301940918,0.9939106702804565,0.9940366744995117,0.9652087688446045
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,45521,0.20090869069099426,0.9242158532142639,0.9411783814430237,0.9053872227668762,0.9761385321617126,0.9767940640449524,0.9222819805145264
wgEncodeAwgTfbsHaibSknshraRad21V0416102UniPk,96244,0.18641161918640137,0.9266446232795715,0.9418989419937134,0.9100766181945801,0.978965163230896,0.9791696667671204,0.9250806570053101
wgEncodeAwgTfbsHaibEcc1Pol2V0416102Dm002p1hUniPk,30299,0.35678040981292725,0.840036928653717,0.8425460457801819,0.8375263810157776,0.9218226075172424,0.9208329319953918,0.8388611078262329
wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,38911,0.14744848012924194,0.9455252885818481,0.9479272961616516,0.9429023861885071,0.9861863255500793,0.9866352081298828,0.9450622200965881
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,8379,0.4517245590686798,0.7924618124961853,0.8211373686790466,0.7421408891677856,0.8775162696838379,0.8785306215286255,0.7785300016403198
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk,70000,0.2980605661869049,0.8733413219451904,0.885439932346344,0.8637569546699524,0.9471415281295776,0.9467252492904663,0.8733428716659546
wgEncodeAwgTfbsSydhHepg2Irf3IggrabUniPk,1081,0.22576764225959778,0.9114391207695007,0.954315185546875,0.8721485137939453,0.9704979062080383,0.9696150422096252,0.9108143448829651
wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk,10481,0.1961159110069275,0.9264481663703918,0.9391814470291138,0.9139242768287659,0.9766592979431152,0.9771547317504883,0.9254066944122314
wgEncodeAwgTfbsBroadK562P300UniPk,3897,0.4757138788700104,0.7718631029129028,0.7940178513526917,0.7399862408638,0.8673800230026245,0.8633283972740173,0.7643336057662964
wgEncodeAwgTfbsSydhMcf7Tcf7l2UcdUniPk,16045,0.44174498319625854,0.8189054727554321,0.8310341835021973,0.8041223883628845,0.8939785361289978,0.8979552984237671,0.8160852193832397
wgEncodeAwgTfbsUwAg04449CtcfUniPk,77835,0.09447071701288223,0.9658613801002502,0.9631045460700989,0.9687578678131104,0.9931620359420776,0.9936915636062622,0.9655997157096863
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk,62691,0.06485691666603088,0.9799721240997314,0.9805017709732056,0.9801985025405884,0.9957321882247925,0.9962260723114014,0.980188250541687
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk,13316,0.2434312105178833,0.9028486013412476,0.8986960649490356,0.9028685092926025,0.9664753675460815,0.965918779373169,0.900225818157196
wgEncodeAwgTfbsSydhK562Tr4UcdUniPk,924,0.4285997152328491,0.8232758641242981,0.9265993237495422,0.7612612247467041,0.8974897861480713,0.8942664861679077,0.8339452743530273
wgEncodeAwgTfbsSydhHepg2Tcf7l2UcdUniPk,4287,0.42858508229255676,0.8136067390441895,0.8262531161308289,0.8032646775245667,0.8971395492553711,0.8962207436561584,0.8136157393455505
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk,10925,0.3779263198375702,0.8307358026504517,0.8327340483665466,0.8247184753417969,0.9140104055404663,0.9136289358139038,0.8276891112327576
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk,59084,0.10892316699028015,0.9620628952980042,0.96244215965271,0.9615235924720764,0.9904868006706238,0.9913870096206665,0.961708128452301
wgEncodeAwgTfbsUtaGm12891CtcfUniPk,66037,0.18967624008655548,0.9299951791763306,0.9397407174110413,0.9177895784378052,0.9770717024803162,0.9775710701942444,0.9281507730484009
wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk,25157,0.36854034662246704,0.8451643586158752,0.8563697934150696,0.834591805934906,0.9215676784515381,0.9218323826789856,0.8446891903877258
wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk,848,0.140377014875412,0.9530516266822815,0.9439393877983093,0.9588541984558105,0.9887052178382874,0.9883180260658264,0.9512820243835449
wgEncodeAwgTfbsHaibGm12891Pol24h8Pcr1xUniPk,24558,0.42111635208129883,0.8062103986740112,0.8050463199615479,0.7989526987075806,0.8906928300857544,0.8895755410194397,0.8009295463562012
wgEncodeAwgTfbsUwHelas3CtcfUniPk,59063,0.060148682445287704,0.9793939590454102,0.9787687063217163,0.9804449677467346,0.9970333576202393,0.9972018003463745,0.9794572591781616
wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk,40423,0.27370086312294006,0.8887680172920227,0.8799894452095032,0.8727620244026184,0.958005964756012,0.9581757187843323,0.875542163848877
wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk,7508,0.21887892484664917,0.9164004325866699,0.925418496131897,0.9004641175270081,0.9711440801620483,0.9709460139274597,0.9119924306869507
